,index,date,flag,wind_id,time,open,high,low,close,io,all_volume,all_turnover,preclose,average_price,date_time,factor,ud_last,sum_ud,buy_start,buy_count,sell_count,buy_sum,sell_sum,buy_n,sell_n,sig,stop_price,pos
0,0,20150416,0.0,IC1505,93000000,7527.4,7595.6,7515.0,7590.4,4333,7266,10985383920,7610.8,7559.443930635837,2015-04-16 15:00:00,0,,0.0,,,,,,,,0.0,,0.0
1,1,20150416,1.0,IC1505,94500000,7590.4,7637.4,7589.2,7610.8,5079,6385,9713865920,7703.4,7606.786155050901,2015-04-16 15:00:00,0,0.0,0.0,,,,,,,,0.0,,0.0
2,2,20150416,2.0,IC1505,100000000,7610.8,7714.4,7600.4,7703.4,6034,8299,12723374560,7701.6,7665.607036992409,2015-04-16 15:00:00,0,0.0,0.0,,,,,,,,0.0,,0.0
3,3,20150416,3.0,IC1505,101500000,7705.4,7749.6,7694.6,7701.6,6579,8609,13285547600,7774.0,7716.08061331165,2015-04-16 15:00:00,0,0.0,0.0,,,,,,,,0.0,,0.0
4,4,20150416,4.0,IC1505,103000000,7700.6,7789.0,7692.8,7774.0,6991,7818,12103390320,7754.2,7740.720337682272,2015-04-16 15:00:00,1,0.0,1.0,,,,,,,,0.0,,0.0
5,5,20150416,5.0,IC1505,104500000,7773.6,7777.0,7730.4,7754.2,7208,6979,10816842360,7751.2,7749.564665424846,2015-04-16 15:00:00,1,1.0,2.0,,,,,,,,0.0,,0.0
6,6,20150416,6.0,IC1505,110000000,7754.2,7764.6,7720.4,7751.2,7385,6309,9768458200,7725.6,7741.685053098748,2015-04-16 15:00:00,1,1.0,3.0,,,,,,,,0.0,,0.0
7,7,20150416,7.0,IC1505,111500000,7751.2,7760.8,7696.4,7725.6,7261,7552,11675332480,7708.6,7729.9605932203385,2015-04-16 15:00:00,1,1.0,4.0,1.0,,,,,,,0.0,,0.0
8,8,20150416,8.0,IC1505,130000000,7726.4,7728.0,7692.4,7708.6,7348,4843,7466882160,7723.0,7708.942969233945,2015-04-16 15:00:00,-1,1.0,-1.0,,,,,,,,0.0,,0.0
9,9,20150416,9.0,IC1505,131500000,7708.4,7728.2,7700.0,7723.0,7450,4886,7537251200,7721.0,7713.110110519853,2015-04-16 15:00:00,-1,-1.0,-2.0,,,,,,,,0.0,,0.0
10,10,20150416,10.0,IC1505,133000000,7722.8,7727.4,7707.6,7721.0,7604,3633,5606593200,7698.0,7716.20313790256,2015-04-16 15:00:00,-1,-1.0,-3.0,,,,,,,,0.0,,0.0
